,FTIR_Results_,count
2,['MDMA'] ['Ketamine'] ,36
3,['MDMA'] ['Cocaine'] ,29
6,['Cocaine'] ['Ketamine'] ,26
4,"['MDMA', 'Unknown']",25
8,"['MDMA', 'Unknown'] ['MDMA'] ",17
13,"['Ketamine'] ['MDMA', 'Unknown'] ",14
12,['MDA'] ['MDMA'] ,9
23,"['MDMA'] ['Cocaine', 'Unknown']",8
18,['MDMA'] ['MDA'] ,5
19,['MDMA'] ['Cocaine'] ['Ketamine'],5
20,"['MDMA', 'Unknown'] ['Cocaine'] ",5
21,"['MDMA', 'Other'] ['MDMA', 'Other'] ",5
22,['Ketamine'] ['Cocaine'] ['MDMA'],5
24,"['MDMA'] ['Ketamine', 'Unknown'] ",4
26,['Ketamine'] ['MDA'] ,4
28,"['Cocaine', 'Unknown'] ['Ketamine'] ",4
30,['MDMA'] ['MDA'] ['Ketamine'],3
31,['MDMA'] ['Ketamine'] ['Unknown'],3
32,['MDMA'] ['Ketamine'] ['Cocaine'],3
33,"['MDMA'] ['Ketamine'] ['Cocaine', 'Unknown']",3
34,"['MDMA', 'Unknown'] ['Other'] ",3
35,['Ketamine'] ['Unknown'] ,3
36,['Ketamine'] ['Ketamine'] ['MDMA'],3
37,"['Ketamine'] ['Cocaine', 'Unknown'] ",3
38,"['Cocaine'] ['MDMA', 'Unknown'] ",3
39,"['Cocaine', 'Unknown'] ['MDMA'] ",3
40,"['Cocaine', 'Unknown'] ['Cocaine', 'Unknown'] ",3
41,['Unknown'] ['MDMA'] ['Ketamine'],2
42,['Unknown'] ['Cocaine'] ['MDMA'],2
43,"['Unknown', 'Cocaine'] ['MDMA'] ",2
44,['Other'] ['MDMA'] ,2
45,"['MDMA'], ['MDMA'], ['Cocaine', 'Unknown'],",2
46,"['MDMA'], ['Ketamine'], ['Ketamine'],",2
47,"['MDMA'],['MDMA'] , ,",2
48,"['MDMA'],['Ketamine'] ['MDMA'], ['Ketamine'],",2
49,['MDMA']  ['MDMA'],2
50,"['MDMA']  ['Cocaine', 'Unknown']",2
51,['MDMA'] ['MDMA'] ['MDA'],2
52,['MDMA'] ['MDMA'] ['Cocaine'],2
53,"['MDMA'] ['Ketamine', 'Unknown'] ['Cocaine', 'Unknown']",2
54,"['MDMA', 'Unknown'] ['Ketamine'] ['MDMA']",2
55,"['MDMA', 'Unknown'] ['Cocaine', 'Unknown'] ",2
56,"['MDMA', 'Unknown'] ['Cocaine', 'Unknown'] ['MDMA']",2
57,"['MDMA', 'Other'] ['Ketamine', 'Other'] ",2
58,"['MDMA', 'Other'] ['Cocaine', 'Other'] ",2
59,"['MDMA', 'MDMA'] ['MDMA'] ",2
60,"['MDMA', 'MDA'] ['MDMA'] ",2
61,['MDA'] ['Unknown'] ,2
62,['MDA'] ['MDMA'] ['MDMA'],2
63,['MDA'] ['MDMA'] ['Ketamine'],2
64,['MDA'] ['MDA'] ,2
65,['MDA'] ['Cocaine'] ,2
66,"['MDA'] ['Cocaine', 'Unknown'] ",2
67,"['MDA', 'Unknown'] ['Ketamine'] ",2
68,"['Ketamine'], ['MDMA'], ['MDMA'],",2
69,['Ketamine'] ['Ketamine'] ['Cocaine'],2
70,"['Ketamine', 'Other'] ['Unknown', 'Other'] ",2
71,['Cocaine'] ['MDMA'] ['Unknown'],2
72,['Cocaine'] ['Ketamine'] ['MDMA'],2
73,"['Cocaine'] ['Cocaine', 'Unknown'] ",2
74,"['Cocaine', 'Unknown'] ['Unknown'] ",2
75,"['Cocaine', 'Unknown'] ['Cocaine'] ['Ketamine']",2
76,"['Cocaine', 'Unknown', 'Unknown'] ['MDMA'] ",2
77,"['Cocaine', 'Other'] ['Ketamine', 'Other'] ",2
78,", ['MDMA'], ['MDMA'],",1
79,", ['Ketamine'], ['Cocaine'],",1
80,",['MDMA'] ,['Methamphetamine'] ['MDMA', 'Unknown', 'Unknown'],",1
81,",['MDMA', 'Unknown'] ['MDMA', 'Unknown'], ['Methamphetamine', 'Other'],",1
82,",['Cocaine'] ['MDMA'],['Cocaine'] ['MDMA'],",1
83, ['MDMA'] ['MDMA'],1
84," ['MDMA'] ['MDMA', 'Ketamine']",1
85, ['MDA'] ['Ketamine'],1
86, ['Cocaine'] ['Ketamine'],1
87,"['Unknown'],['MDMA'] ['MDA'],['MDMA'] ,",1
88,"['Unknown'],['Ketamine'] ['MDMA', 'Unknown'],['MDMA'] ['MDMA', 'Unknown'],['Ketamine']",1
89,"['Unknown'],['Cocaine'] ['Ketamine'],['Ketamine', 'Unknown'] ['MDMA'],['MDMA']",1
90,"['Unknown']  ['Unknown', 'Unknown']",1
91,"['Unknown'] ['Unknown'] ['MDMA', 'MDA']",1
92,"['Unknown'] ['Unknown', 'Unknown'] ",1
93,['Unknown'] ['Other'] ,1
94,['Unknown'] ['MDMA'] ,1
95,['Unknown'] ['MDMA'] ['MDMA'],1
96,"['Unknown'] ['MDMA', 'Unknown'] ",1
97,['Unknown'] ['Ketamine'] ,1
98,['Unknown'] ['Ketamine'] ['MDA'],1
99,['Unknown'] ['Ketamine'] ['Cocaine'],1
100,"['Unknown'] ['Ketamine'] ['Cocaine', 'Unknown']",1
101,"['Unknown', 'Unknown'],['Unknown', 'Unknown'] , ['Unknown', 'Unknown'],",1
102,"['Unknown', 'Unknown'],['Ketamine'] ['MDA', 'Unknown'], ['Cocaine'],",1
103,"['Unknown', 'Unknown'] ['Unknown'] ",1
104,"['Unknown', 'Unknown'] ['Unknown'] ['MDMA', 'Unknown']",1
105,"['Unknown', 'Unknown'] ['MDMA'] ",1
106,"['Unknown', 'Unknown'] ['MDA'] ['MDA']",1
107,"['Unknown', 'Unknown', 'Unknown'] ['Unknown', 'Other'] ",1
108,"['Unknown', 'Unknown', 'Other'] ['MDMA', 'Other'] ['Ketamine', 'Other']",1
109,"['Unknown', 'Unknown', 'MDMA', 'Unknown'] ['Ketamine'] ",1
110,"['Unknown', 'Other'] ['Ketamine', 'Other'] ",1
111,"['Unknown', 'Methamphetamine', 'Cocaine'],['Cocaine', 'Unknown'] ['Unknown', 'Other', 'Other'],['Methamphetamine', 'MDA'] ,",1
112,"['Unknown', 'MDMA'],['Ketamine'] ['MDMA', 'Unknown'],['Cocaine'] ['Cocaine'],",1
113,"['Unknown', 'MDMA'] ['Unknown', 'Unknown'] ['Cocaine']",1
114,"['Unknown', 'MDMA'] ['Unknown', 'MDMA'] ",1
115,"['Unknown', 'MDMA'] ['Unknown', 'MDMA'] ['MDMA', 'Unknown']",1
116,"['Unknown', 'MDMA'] ['Unknown', 'Cocaine'] ",1
117,"['Unknown', 'MDMA'] ['MDMA', 'Other'] ",1
118,"['Unknown', 'MDA'] ['Cocaine', 'Unknown'] ",1
119,"['Unknown', 'Ketamine'] ['Cocaine'] ['Ketamine']",1
120,"['Unknown', 'Cocaine'],['MDMA', 'Ketamine'],['Cocaine'] ['Cocaine'],['Ketamine'],['Ketamine'] ['Ketamine'],['Ketamine'],",1
121,"['Unknown', 'Cocaine']  ['Cocaine']",1
122,"['Other'],['MDMA'] , ['MDMA'],",1
123,"['Other'],['Ketamine'] ['MDMA'], ['MDMA', 'Unknown'],",1
124,['Other'] ['Ketamine'] ,1
125,"['Methamphetamine'], ['Unknown', 'Cocaine'], ['Unknown', 'Cocaine'],",1
126,"['Methamphetamine'],['Unknown'] ['Unknown'], ,",1
127,"['Methamphetamine'] ['Ketamine', 'Unknown'] ",1
128,"['MDMA'],,['MDMA'] ['MDA'],['Unknown', 'Cocaine'],['Cocaine'] ['Ketamine'],['Ketamine'],['MDMA']",1
129,"['MDMA'], ,['Ketamine'] ,['Cocaine']",1
130,"['MDMA'], ['Unknown'], ,",1
131,"['MDMA'], ['Unknown', 'Unknown', 'Unknown', 'Unknown'],['MDMA', 'MDA'] ['Unknown', 'Unknown'],",1
132,"['MDMA'], ['MDMA'], ,",1
133,"['MDMA'], ['MDMA'], ['MDMA'],",1
134,"['MDMA'], ['MDMA'], ['MDMA'],['Ketamine']",1
135,"['MDMA'], ['MDMA'], ['MDA'],",1
136,"['MDMA'], ['MDMA'], ['Cocaine'],",1
137,"['MDMA'], ['MDA'], ['Ketamine', 'Unknown'],",1
138,"['MDMA'], ['Ketamine'], ,",1
139,"['MDMA'], ['Ketamine'], ['Cocaine'],",1
140,"['MDMA'], ['Ketamine'],['Ketamine'] ['Unknown'],",1
141,"['MDMA'], ['Cocaine'], ['Ketamine'],",1
142,"['MDMA'], ['Cocaine', 'Unknown'], ['MDMA', 'Unknown'],",1
143,"['MDMA'],['Unknown'] ['Ketamine'], ['Ketamine'],",1
144,"['MDMA'],['Unknown'] ['Cocaine'], ['Ketamine'],",1
145,"['MDMA'],['Unknown'] ['Cocaine'],['Cocaine'] ,",1
146,"['MDMA'],['Unknown', 'Unknown', 'Unknown'] ['MDMA'], ['Ketamine'],",1
147,"['MDMA'],['Unknown', 'Other'] ['Ketamine'], ['Cocaine'],",1
148,"['MDMA'],['Other'],['MDMA'] ['MDA'],['Other'], ['Unknown'],['Ketamine'],",1
149,"['MDMA'],['Other'] ['MDA', 'Unknown'],['MDA', 'Cocaine'] ['Ketamine'],['MDMA']",1
150,"['MDMA'],['MDMA'], ['MDMA'],['MDMA'], ['Cocaine'],['Cocaine'],",1
151,"['MDMA'],['MDMA'] ['Unknown'],['MDMA'] ['MDMA'],['MDMA']",1
152,"['MDMA'],['MDMA'] ['Unknown', 'Cocaine'], ,",1
153,"['MDMA'],['MDMA'] ['MDMA'], ,",1
154,"['MDMA'],['MDMA'] ['MDMA'],['MDMA'] ['MDMA'],",1
155,"['MDMA'],['MDMA'] ['MDMA'],['MDMA'] ['MDMA'],['MDMA']",1
156,"['MDMA'],['MDMA'] ['Ketamine'],['Cocaine'] ['Cocaine'],",1
157,"['MDMA'],['MDMA', 'Unknown'] ['Unknown', 'Cocaine'], ['MDMA'],",1
158,"['MDMA'],['MDA'] ['MDA'], ['MDMA'],",1
159,"['MDMA'],['MDA', 'MDMA'] ['Cocaine'], ,",1
160,"['MDMA'],['Ketamine'],['Ketamine'] ['MDA'],['Cocaine', 'Ketamine', 'Unknown'],['Unknown'] ,,",1
161,"['MDMA'],['Ketamine'] , ['Cocaine'],",1
162,"['MDMA'],['Ketamine'] ['Unknown'], ['MDMA', 'Unknown'],",1
163,"['MDMA'],['Ketamine'] ['MDMA'],['Ketamine'] ['MDA'],['Unknown']",1
164,"['MDMA'],['Ketamine'] ['MDMA', 'Unknown'],['Ketamine'] ['Unknown'],['Cocaine', 'Unknown']",1
165,"['MDMA'],['Ketamine'] ['Ketamine'], ['Cocaine'],['MDMA']",1
166,"['MDMA'],['Ketamine'] ['Ketamine', 'Unknown'], ['Cocaine'],",1
167,"['MDMA'],['Ketamine'] ['Cocaine', 'Unknown'], ['Cocaine'],",1
168,"['MDMA'],['Ketamine', 'Unknown'] ['MDMA', 'Unknown'],['Cocaine'] ['MDMA'],['MDMA', 'Unknown']",1
169,"['MDMA'],['Ketamine', 'Methamphetamine'] ['Ketamine'],['Unknown'] ,",1
170,"['MDMA'],['Cocaine'] ['MDMA'], ['Ketamine'],",1
171,"['MDMA'],['Cocaine'] ['MDMA'], ['Cocaine', 'Unknown', 'Unknown'],",1
172,"['MDMA'],['Cocaine'] ['MDMA'],['Cocaine'] ['MDMA'],",1
173,"['MDMA'],['Cocaine'] ['MDA'], ['Ketamine', 'Unknown'],",1
174,"['MDMA'],['Cocaine', 'Unknown'] ['Ketamine'],['MDMA'] ['Ketamine'],",1
175,"['MDMA'],['Cocaine', 'Unknown'] ['Cocaine', 'Unknown'], ['MDMA'],",1
176,['MDMA']  ['Unknown'],1
177,['MDMA']  ['Cocaine'],1
178,"['MDMA']  ['Cocaine', 'Other']",1
179,['MDMA'] ['Unknown'] ['Unknown'],1
180,"['MDMA'] ['Unknown', 'Unknown'] ",1
181,"['MDMA'] ['Unknown', 'Unknown'] ['Other']",1
182,"['MDMA'] ['Unknown', 'Other'] ",1
183,"['MDMA'] ['Unknown', 'MDMA', 'MDA'] ",1
184,"['MDMA'] ['Unknown', 'Cocaine'] ",1
185,"['MDMA'] ['Unknown', 'Cocaine'] ['Ketamine', 'Cocaine']",1
186,['MDMA'] ['Other'] ['Other'],1
187,['MDMA'] ['Other'] ['MDMA'],1
188,['MDMA'] ['MDMA'] ['Unknown'],1
189,"['MDMA'] ['MDMA'] ['Unknown', 'Cocaine']",1
190,"['MDMA'] ['MDMA'] ['MDMA', 'Unknown']",1
191,"['MDMA'] ['MDMA'] ['MDMA', 'MDMA']",1
192,"['MDMA'] ['MDMA'] ['MDA', 'MDMA']",1
193,"['MDMA'] ['MDMA', 'Unknown'] ['MDMA']",1
194,"['MDMA'] ['MDMA', 'Unknown'] ['MDA']",1
195,"['MDMA'] ['MDMA', 'Unknown'] ['Ketamine', 'MDMA']",1
196,"['MDMA'] ['MDMA', 'Other'] ['Ketamine']",1
197,['MDMA'] ['MDA'] ['Other'],1
198,"['MDMA'] ['MDA', 'Unknown', 'Unknown'] ",1
199,"['MDMA'] ['MDA', 'MDMA'] ",1
200,['MDMA'] ['Ketamine'] ['Other'],1
201,['MDMA'] ['Ketamine'] ['MDMA'],1
202,['MDMA'] ['Ketamine'] ['Ketamine'],1
203,"['MDMA'] ['Ketamine', 'Unknown'] ['Unknown']",1
204,"['MDMA'] ['Ketamine', 'Unknown'] ['MDMA']",1
205,"['MDMA'] ['Ketamine', 'Unknown'] ['MDMA', 'Unknown']",1
206,['MDMA'] ['Cocaine'] ['MDMA'],1
207,"['MDMA'] ['Cocaine', 'Methamphetamine'] ['Cocaine', 'Unknown']",1
208,"['MDMA'] ['Cocaine', 'Ketamine'] ",1
209,"['MDMA', 'Unknown'], ['MDMA'], ,",1
210,"['MDMA', 'Unknown'], ['Ketamine', 'Methamphetamine'], ['Unknown'],",1
211,"['MDMA', 'Unknown'], ['Cocaine'], ['Ketamine'],",1
212,"['MDMA', 'Unknown'], ['Cocaine'],['Cocaine'] ,",1
213,"['MDMA', 'Unknown'],['Unknown'] ['MDA', 'MDMA'], ['Ketamine'],",1
214,"['MDMA', 'Unknown'],['Unknown'] ['Ketamine'], ,",1
215,"['MDMA', 'Unknown'],['Unknown', 'Cocaine'] ['MDA', 'Unknown'], ['Ketamine'],",1
216,"['MDMA', 'Unknown'],['MDMA'] , ,",1
217,"['MDMA', 'Unknown'],['MDA'] ['Unknown'], ['Ketamine'],['Ketamine']",1
218,"['MDMA', 'Unknown'],['Ketamine'] ['MDMA'],['Cocaine'] ['Unknown', 'Cocaine', 'Unknown'],",1
219,"['MDMA', 'Unknown'],['Ketamine'] ['Cocaine'], ['Cocaine'],",1
220,"['MDMA', 'Unknown'],['Ketamine', 'Unknown'] ['MDA', 'Unknown'], ['Ketamine', 'Unknown'],",1
221,"['MDMA', 'Unknown'],['Cocaine'] ['MDMA', 'Unknown'], ['Ketamine'],['Unknown']",1
222,"['MDMA', 'Unknown'],['Cocaine'] ['Ketamine'],['Cocaine', 'Unknown'] ['Ketamine'],['MDMA']",1
